codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;101547;CE;CALIDAD Y EMPRESA;0;0;0,0141;0,7301;0,7160
101523;FQ;FUNDAMENTOS DE QUÍMICA;101545;EST;ESTADÍSTICA;0;0;0,0031;0,7189;0,7158
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;0;0;0,0066;0,7191;0,7125
101536;OTRN;ORDENACIÓN DEL TERRITORIO Y RIESGOS NATURALES;101557;GCP;GESTIÓN DE CAZA Y PESCA;0;0;0,0918;0,8042;0,7124
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0114;0,7175;0,7061
101545;EST;ESTADÍSTICA;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0017;0,7057;0,7040
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;101560;PTU;PLANEAMIENTO TERRITORIAL Y URBANO;0;0;0,0545;0,7553;0,7008
101520;FB;FUNDAMENTOS DE BIOLOGÍA;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0197;0,7204;0,7007
101543;SIG;SISTEMAS DE INFORMACIÓN GEOGRÁFICA;101544;CA;CARTOGRAFÍA APLICADA;0;1;0,0988;0,7984;0,6996
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0190;0,7151;0,6961
101543;SIG;SISTEMAS DE INFORMACIÓN GEOGRÁFICA;101545;EST;ESTADÍSTICA;0;0;0,0140;0,7095;0,6955
101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0000;0,6945;0,6945
101547;CE;CALIDAD Y EMPRESA;101549;GE;GESTIÓN DE ECOSISTEMAS;0;0;0,1684;0,8619;0,6935
101526;FF;FUNDAMENTOS DE FÍSICA;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0295;0,7222;0,6927
101545;EST;ESTADÍSTICA;660007;EDAF;EDAFOLOGÍA;0;0;0,0000;0,6927;0,6927
